country,year,category,count
Denmark,2024,Family,14184
Denmark,2024,Other,3058
Estonia,2014,Asylum/Protection,20
Estonia,2014,Education,777
Estonia,2014,Employment,882
Estonia,2014,Family,1263
Estonia,2014,Other,300
Estonia,2015,Asylum/Protection,80
Estonia,2015,Education,986
Estonia,2015,Employment,1279
Estonia,2015,Family,1351
Estonia,2015,Other,368
Estonia,2016,Asylum/Protection,130
Estonia,2016,Education,1114
Estonia,2016,Employment,1339
Estonia,2016,Family,1424
Estonia,2016,Other,431
Estonia,2017,Asylum/Protection,95
Estonia,2017,Education,1193
Estonia,2017,Employment,1531
Estonia,2017,Family,1270
Estonia,2017,Other,386
Estonia,2018,Asylum/Protection,20
Estonia,2018,Education,1272
Estonia,2018,Employment,1791
Estonia,2018,Family,1762
Estonia,2018,Other,318
Estonia,2019,Asylum/Protection,45
Estonia,2019,Education,1377
Estonia,2019,Employment,2102
Estonia,2019,Family,2411
Estonia,2019,Other,310
Estonia,2020,Asylum/Protection,25
Estonia,2020,Education,556
Estonia,2020,Employment,2035
Estonia,2020,Family,2120
Estonia,2020,Other,281
Estonia,2021,Asylum/Protection,50
Estonia,2021,Education,1120
Estonia,2021,Employment,2290
Estonia,2021,Family,2789
Estonia,2021,Other,350
Estonia,2022,Asylum/Protection,2100
Estonia,2022,Education,579
Estonia,2022,Employment,2341
Estonia,2022,Family,3117
Estonia,2022,Other,2388
Estonia,2023,Asylum/Protection,3880
Estonia,2023,Education,449
Estonia,2023,Employment,2065
Estonia,2023,Family,1838
Estonia,2023,Other,4107
Estonia,2024,Asylum/Protection,1350
Estonia,2024,Education,418
Estonia,2024,Employment,1409
Estonia,2024,Family,1481
Estonia,2024,Other,1552
Finland,2014,Asylum/Protection,1270
Finland,2014,Education,5787
Finland,2014,Employment,4380
Finland,2014,Family,9090
Finland,2014,Other,7518
Finland,2015,Asylum/Protection,1680
Finland,2015,Education,5957
Finland,2015,Employment,4573
Finland,2015,Family,8436
Finland,2015,Other,3903
Finland,2016,Asylum/Protection,7070
Finland,2016,Education,6470
Finland,2016,Employment,4833
Finland,2016,Family,8350
Finland,2016,Other,8639
Finland,2017,Asylum/Protection,3430
Finland,2017,Education,5365
Finland,2017,Employment,5477
Finland,2017,Family,9415
Finland,2017,Other,4890
Finland,2018,Asylum/Protection,2405
Finland,2018,Education,5353
Finland,2018,Employment,6516
Finland,2018,Family,9362
Finland,2018,Other,4045
Finland,2019,Asylum/Protection,1665
Finland,2019,Education,5319
Finland,2019,Employment,8228
Finland,2019,Family,10734
Finland,2019,Other,4166
Finland,2020,Asylum/Protection,1150
Finland,2020,Education,3250
Finland,2020,Employment,7614
Finland,2020,Family,9387
Finland,2020,Other,3181
Finland,2021,Asylum/Protection,1065
Finland,2021,Education,5895
Finland,2021,Employment,10498
Finland,2021,Family,11214
Finland,2021,Other,4035
Finland,2022,Asylum/Protection,1235
Finland,2022,Education,8478
Finland,2022,Employment,15575
Finland,2022,Family,17086
Finland,2022,Other,3741
Finland,2023,Asylum/Protection,1275
Finland,2023,Education,12914
Finland,2023,Employment,15410
Finland,2023,Family,22115
Finland,2023,Other,3739
Finland,2024,Asylum/Protection,1340
Finland,2024,Education,12240
Finland,2024,Employment,11332
Finland,2024,Family,19954
Finland,2024,Other,2986
France,2014,Asylum/Protection,14815
France,2014,Education,65201
France,2014,Employment,19428
France,2014,Family,92272
France,2014,Other,43698
France,2015,Asylum/Protection,20630
France,2015,Education,70250
France,2015,Employment,21003
France,2015,Family,99312
France,2015,Other,38122
France,2016,Asylum/Protection,28755
France,2016,Education,73865
France,2016,Employment,23275
France,2016,Family,94345
France,2016,Other,45733
France,2017,Asylum/Protection,32565
France,2017,Education,80566
France,2017,Employment,27835
France,2017,Family,94247
France,2017,Other,51986
France,2018,Asylum/Protection,32725
France,2018,Education,83975
France,2018,Employment,33993
France,2018,Family,97664
France,2018,Other,51794
France,2019,Asylum/Protection,28140
France,2019,Education,90668
France,2019,Employment,39652
France,2019,Family,98174
France,2019,Other,58949
France,2020,Asylum/Protection,19130
France,2020,Education,73819
France,2020,Employment,27354
France,2020,Family,80730
France,2020,Other,55231
France,2021,Asylum/Protection,33875
France,2021,Education,91100
France,2021,Employment,38060
France,2021,Family,93583
France,2021,Other,64436
France,2022,Asylum/Protection,35675
France,2022,Education,105717
France,2022,Employment,55247
France,2022,Family,97038
France,2022,Other,68946
France,2023,Asylum/Protection,41660
France,2023,Education,112399
France,2023,Employment,58762
France,2023,Family,92719
France,2023,Other,74997
France,2024,Asylum/Protection,52130
France,2024,Education,112594
France,2024,Employment,58603
France,2024,Family,91030
France,2024,Other,83360
Germany,2014,Asylum/Protection,40560
Germany,2014,Education,49406
Germany,2014,Employment,29275
Germany,2014,Family,91661
Germany,2014,Other,67285
Germany,2015,Asylum/Protection,140910
Germany,2015,Education,16683
Germany,2015,Employment,13451
Germany,2015,Family,133893
Germany,2015,Other,30786
Germany,2016,Asylum/Protection,433905
Germany,2016,Education,46083
Germany,2016,Employment,39552
Germany,2016,Family,136982
Germany,2016,Other,282232
Germany,2017,Asylum/Protection,261620
Germany,2017,Education,48637
Germany,2017,Employment,52915
Germany,2017,Family,156973
Germany,2017,Other,276921
Germany,2018,Asylum/Protection,75940
Germany,2018,Education,65232
Germany,2018,Employment,68342
Germany,2018,Family,190856
Germany,2018,Other,219141
Germany,2019,Asylum/Protection,70320
Germany,2019,Education,68239
Germany,2019,Employment,72635
Germany,2019,Family,161728
Germany,2019,Other,122470
Germany,2020,Asylum/Protection,62470
Germany,2020,Education,48719
Germany,2020,Employment,51023
Germany,2020,Family,133365
Germany,2020,Other,118628
Germany,2021,Asylum/Protection,59850
Germany,2021,Education,67311
Germany,2021,Employment,60063
Germany,2021,Family,190279
Germany,2021,Other,186645
Germany,2022,Asylum/Protection,128460
Germany,2022,Education,83224
Germany,2022,Employment,96865
Germany,2022,Family,216925
Germany,2022,Other,228372
Germany,2023,Asylum/Protection,135275
Germany,2023,Education,86943
Germany,2023,Employment,102411
Germany,2023,Family,236330
Germany,2023,Other,237204
Germany,2024,Asylum/Protection,133710
Germany,2024,Education,75005
Germany,2024,Employment,77149
Germany,2024,Family,196979
Germany,2024,Other,195854
Greece,2014,Asylum/Protection,1970
Greece,2014,Education,835
Greece,2014,Employment,2190
Greece,2014,Family,12647
Greece,2014,Other,6779
Greece,2015,Asylum/Protection,4030
Greece,2015,Education,871
Greece,2015,Employment,1111
Greece,2015,Family,19175
Greece,2015,Other,16307
Greece,2016,Asylum/Protection,2715
Greece,2016,Education,902
Greece,2016,Employment,2133
Greece,2016,Family,23598
Greece,2016,Other,17439
Greece,2017,Asylum/Protection,10455
Greece,2017,Education,850
Greece,2017,Employment,2022
Greece,2017,Family,13798
Greece,2017,Other,13325
Greece,2018,Asylum/Protection,15210
Greece,2018,Education,813
Greece,2018,Employment,2861
Greece,2018,Family,17079
Greece,2018,Other,14818
Greece,2019,Asylum/Protection,17350
Greece,2019,Education,961
Greece,2019,Employment,3133
Greece,2019,Family,19694
Greece,2019,Other,18560
Greece,2020,Asylum/Protection,34325
Greece,2020,Education,687
Greece,2020,Employment,1632
Greece,2020,Family,8323
Greece,2020,Other,9179
Greece,2021,Asylum/Protection,16575
Greece,2021,Education,681
Greece,2021,Employment,2193
Greece,2021,Family,11773
Greece,2021,Other,32942
Greece,2022,Asylum/Protection,19245
Greece,2022,Education,893
Greece,2022,Employment,5649
Greece,2022,Family,15935
Greece,2022,Other,36412
Greece,2023,Asylum/Protection,24950
Greece,2023,Education,676
Greece,2023,Employment,11838
Greece,2023,Family,17366
Greece,2023,Other,41041
Greece,2024,Asylum/Protection,39565
Greece,2024,Education,796
Greece,2024,Employment,22290
Greece,2024,Family,16122
Greece,2024,Other,48724
Hungary,2014,Asylum/Protection,510
Hungary,2014,Education,5168
Hungary,2014,Employment,3733
Hungary,2014,Family,6736
Hungary,2014,Other,5551
Hungary,2015,Asylum/Protection,425
Hungary,2015,Education,5876
Hungary,2015,Employment,4209
Hungary,2015,Family,5715
Hungary,2015,Other,4951
Hungary,2016,Asylum/Protection,430
Hungary,2016,Education,7874
Hungary,2016,Employment,5851
Hungary,2016,Family,4730
Hungary,2016,Other,4387
Hungary,2017,Asylum/Protection,1290
Hungary,2017,Education,10852
Hungary,2017,Employment,13210
Hungary,2017,Family,3788
Hungary,2017,Other,4379
Hungary,2018,Asylum/Protection,365
Hungary,2018,Education,10772
Hungary,2018,Employment,31553
Hungary,2018,Family,6026
Hungary,2018,Other,7388
Hungary,2019,Asylum/Protection,60
Hungary,2019,Education,10188
Hungary,2019,Employment,38875
Hungary,2019,Family,4314
Hungary,2019,Other,8696
Hungary,2020,Asylum/Protection,130
Hungary,2020,Education,8976
Hungary,2020,Employment,31840
Hungary,2020,Family,3626
Hungary,2020,Other,10393
Hungary,2021,Asylum/Protection,40
Hungary,2021,Education,9590
Hungary,2021,Employment,38960
Hungary,2021,Family,4334
Hungary,2021,Other,5231
Hungary,2022,Asylum/Protection,30
Hungary,2022,Education,10148
Hungary,2022,Employment,47372
Hungary,2022,Family,5485
Hungary,2022,Other,5667
Hungary,2023,Asylum/Protection,25
Hungary,2023,Education,11575
Hungary,2023,Employment,53542
Hungary,2023,Family,8073
Hungary,2023,Other,4289
Hungary,2024,Asylum/Protection,15
Hungary,2024,Education,20512
Hungary,2024,Employment,55706
Hungary,2024,Family,6266
Hungary,2024,Other,5140
Iceland,2014,Asylum/Protection,30
Iceland,2014,Education,373
Iceland,2014,Employment,163
Iceland,2014,Family,337
Iceland,2014,Other,112
Iceland,2015,Asylum/Protection,50
Iceland,2015,Education,384
Iceland,2015,Employment,219
Iceland,2015,Family,373
Iceland,2015,Other,168
Iceland,2016,Asylum/Protection,95
Iceland,2016,Education,423
Iceland,2016,Employment,304
Iceland,2016,Family,479
Iceland,2016,Other,263
Iceland,2017,Asylum/Protection,70
Iceland,2017,Education,467
Iceland,2017,Employment,393
Iceland,2017,Family,493
Iceland,2017,Other,248
Iceland,2018,Asylum/Protection,105
Iceland,2018,Education,525
Iceland,2018,Employment,463
Iceland,2018,Family,604
Iceland,2018,Other,340
Iceland,2019,Asylum/Protection,305
Iceland,2019,Education,378
Iceland,2019,Employment,475
Iceland,2019,Family,664
Iceland,2019,Other,588
Iceland,2020,Asylum/Protection,385
Iceland,2020,Education,377
Iceland,2020,Employment,272
Iceland,2020,Family,765
Iceland,2020,Other,631
Iceland,2021,Asylum/Protection,255
Iceland,2021,Education,535
Iceland,2021,Employment,451
Iceland,2021,Family,735
Iceland,2021,Other,604
Iceland,2022,Asylum/Protection,950
Iceland,2022,Education,585
Iceland,2022,Employment,599
Iceland,2022,Family,931
Iceland,2022,Other,1279
Iceland,2023,Asylum/Protection,320
Iceland,2023,Education,694
Iceland,2023,Employment,723
Iceland,2023,Family,1285
Iceland,2023,Other,865
Iceland,2024,Asylum/Protection,200
Iceland,2024,Education,743
Iceland,2024,Employment,516
Iceland,2024,Family,1230
Iceland,2024,Other,731
Ireland,2014,Asylum/Protection,400
Ireland,2014,Education,23730
Ireland,2014,Employment,5139
Ireland,2014,Family,2526
Ireland,2014,Other,5333
Ireland,2015,Asylum/Protection,330
Ireland,2015,Education,22075
Ireland,2015,Employment,6073
Ireland,2015,Family,3444
Ireland,2015,Other,6841
Ireland,2016,Asylum/Protection,485
Ireland,2016,Education,21421
Ireland,2016,Employment,7842
Ireland,2016,Family,4100
Ireland,2016,Other,7916
Ireland,2017,Asylum/Protection,760
Ireland,2017,Education,27588
Ireland,2017,Employment,9398
Ireland,2017,Family,3058
Ireland,2017,Other,7857
Ireland,2018,Asylum/Protection,1005
Ireland,2018,Education,30193
Ireland,2018,Employment,9480
Ireland,2018,Family,2781
Ireland,2018,Other,7485
Ireland,2019,Asylum/Protection,975
Ireland,2019,Education,34735
Ireland,2019,Employment,12049
Ireland,2019,Family,3671
Ireland,2019,Other,8823
Ireland,2020,Asylum/Protection,945
Ireland,2020,Education,14730
Ireland,2020,Employment,7131
Ireland,2020,Family,1835
Ireland,2020,Other,6686
Ireland,2021,Asylum/Protection,1460
Ireland,2021,Education,14611
Ireland,2021,Employment,8009
Ireland,2021,Family,2609
Ireland,2021,Other,9706
Ireland,2022,Asylum/Protection,3590
Ireland,2022,Education,41506
Ireland,2022,Employment,19502
Ireland,2022,Family,3997
Ireland,2022,Other,20788
Ireland,2023,Asylum/Protection,3200
Ireland,2023,Education,39847
Ireland,2023,Employment,23918
Ireland,2023,Family,4461
Ireland,2023,Other,20369
Ireland,2024,Asylum/Protection,3790
Ireland,2024,Education,38416
Ireland,2024,Employment,19078
Ireland,2024,Family,4194
Ireland,2024,Other,18297
Italy,2014,Asylum/Protection,20580
Italy,2014,Education,24373
